Transaction ID,Company Name,Account Number,As of Date,Currency,Primary Account Info,Secondary Account Info,GL Balance,IHub Balance,Balance Difference
1579650,Global Finance Corp,2623476070,2025-03-27,INR,Primary Info 27,Secondary Info 27,273660.59,259168.77,14491.82
1823485,Global Finance Corp,2623476070,2025-03-09,CAD,Primary Info 28,Secondary Info 28,223321.69,360193.19,-136871.5
2801538,Global Finance Corp,2623476070,2025-03-22,EUR,Primary Info 29,Secondary Info 29,242082.32,389701.71,-147619.39
1761810,Global Finance Corp,2623476070,2025-03-01,INR,Primary Info 30,Secondary Info 30,54178.97,473816.41,-419637.44
2726051,Global Finance Corp,2623476070,2025-03-17,GBP,Primary Info 31,Secondary Info 31,184443.91,56328.33,128115.58
1922142,Global Finance Corp,2623476070,2025-03-23,CAD,Primary Info 32,Secondary Info 32,429872.95,381490.58,48382.37
1331816,Global Finance Corp,2623476070,2025-03-18,INR,Primary Info 33,Secondary Info 33,484573.42,218799.53,265773.89
2889563,Global Finance Corp,2623476070,2025-03-14,AUD,Primary Info 34,Secondary Info 34,23336.37,269214.12,-245877.75
1914513,Global Finance Corp,2623476070,2025-03-05,CAD,Primary Info 35,Secondary Info 35,153227.57,412136.37,-258908.8
2236047,Global Finance Corp,2623476070,2025-03-09,EUR,Primary Info 36,Secondary Info 36,238664.09,357395.18,-118731.09
1246899,Global Finance Corp,2623476070,2025-03-11,GBP,Primary Info 37,Secondary Info 37,337658.95,45495.49,292163.46
2705344,Global Finance Corp,2623476070,2025-03-03,JPY,Primary Info 38,Secondary Info 38,465062.02,19002.53,446059.49
1805743,Global Finance Corp,2623476070,2025-03-13,JPY,Primary Info 39,Secondary Info 39,266310.59,142654.04,123656.55
1597680,Global Finance Corp,2623476070,2025-03-14,INR,Primary Info 40,Secondary Info 40,248667.67,332823.95,-84156.28
3070672,Global Finance Corp,2623476070,2025-03-01,USD,Primary Info 41,Secondary Info 41,264018.54,345739.72,-81721.18
5717721,Global Finance Corp,2623476070,2025-03-17,AUD,Primary Info 42,Secondary Info 42,180359.07,327594.58,-147235.51
6496379,Global Finance Corp,2623476070,2025-03-01,CAD,Primary Info 43,Secondary Info 43,48134.96,253737.29,-205602.33
1809977,Global Finance Corp,2623476070,2025-03-04,EUR,Primary Info 44,Secondary Info 44,321290.84,103456.84,217834.0
6197757,Global Finance Corp,2623476070,2025-03-16,JPY,Primary Info 45,Secondary Info 45,460511.5,276530.34,183981.16
3225733,Global Finance Corp,2623476070,2025-03-26,CAD,Primary Info 46,Secondary Info 46,298692.15,483975.2,-185283.05
1817679,Global Finance Corp,2623476070,2025-03-02,GBP,Primary Info 47,Secondary Info 47,80140.88,217368.15,-137227.27
7772395,Global Finance Corp,2623476070,2025-03-23,INR,Primary Info 48,Secondary Info 48,312106.87,84639.62,227467.25
8945098,Global Finance Corp,2623476070,2025-03-07,JPY,Primary Info 49,Secondary Info 49,25037.09,209153.71,-184116.62
3244995,Global Finance Corp,2623476070,2025-03-10,USD,Primary Info 50,Secondary Info 50,359482.08,248598.05,110884.03
3128465,Global Finance Corp,2623476070,2025-03-17,CAD,Primary Info 51,Secondary Info 51,169174.27,111807.46,57366.81
2607984,Global Finance Corp,2623476070,2025-03-05,GBP,Primary Info 52,Secondary Info 52,222982.82,2652.23,220330.59
2253227,Global Finance Corp,2623476070,2025-03-17,EUR,Primary Info 53,Secondary Info 53,177302.98,452657.97,-275354.99
1045155,Global Finance Corp,2623476070,2025-03-11,JPY,Primary Info 54,Secondary Info 54,22485.41,296890.69,-274405.28
1346556,Global Finance Corp,2623476070,2025-03-22,EUR,Primary Info 55,Secondary Info 55,404574.81,289598.08,114976.73
1486381,Global Finance Corp,2623476070,2025-03-02,EUR,Primary Info 56,Secondary Info 56,143248.32,334542.07,-191293.75
1332279,Global Finance Corp,2623476070,2025-03-09,JPY,Primary Info 57,Secondary Info 57,133997.2,28758.47,105238.73
3305127,Global Finance Corp,2623476070,2025-03-14,GBP,Primary Info 58,Secondary Info 58,46464.7,337075.06,-290610.36
1613829,Global Finance Corp,2623476070,2025-03-07,CAD,Primary Info 59,Secondary Info 59,44810.75,452119.86,-407309.11
1906398,Global Finance Corp,2623476070,2025-03-16,AUD,Primary Info 60,Secondary Info 60,252690.81,260817.52,-8126.71
2568539,Global Finance Corp,2623476070,2025-03-15,CAD,Primary Info 61,Secondary Info 61,328847.0,390987.46,-62140.46
3782906,Global Finance Corp,2623476070,2025-03-22,CAD,Primary Info 62,Secondary Info 62,472363.4,384803.76,87559.64
2231821,Global Finance Corp,2623476070,2025-03-22,INR,Primary Info 63,Secondary Info 63,11968.98,149473.61,-137504.63
9893405,Global Finance Corp,2623476070,2025-03-05,GBP,Primary Info 64,Secondary Info 64,219888.07,79936.94,139951.13
9442141,Global Finance Corp,2623476070,2025-03-28,USD,Primary Info 65,Secondary Info 65,472006.67,243087.83,228918.84
8768609,Global Finance Corp,2623476070,2025-03-25,AUD,Primary Info 66,Secondary Info 66,331014.2,454803.15,-123788.95
1178571,Global Finance Corp,2623476070,2025-03-16,JPY,Primary Info 67,Secondary Info 67,236997.54,378971.35,-141973.81
2518396,Global Finance Corp,2623476070,2025-03-13,INR,Primary Info 68,Secondary Info 68,428876.48,372175.76,56700.72
3358190,Global Finance Corp,2623476070,2025-03-15,GBP,Primary Info 69,Secondary Info 69,91048.87,352733.18,-261684.31
8645046,Global Finance Corp,2623476070,2025-03-18,AUD,Primary Info 70,Secondary Info 70,471851.37,253353.87,218497.5
2271008,Global Finance Corp,2623476070,2025-03-26,GBP,Primary Info 71,Secondary Info 71,334609.08,103622.83,230986.25
2217611,Global Finance Corp,2623476070,2025-03-14,AUD,Primary Info 72,Secondary Info 72,39057.67,76323.94,-37266.27
1454747,Global Finance Corp,2623476070,2025-03-12,AUD,Primary Info 73,Secondary Info 73,48610.58,58381.94,-9771.36
9526126,Global Finance Corp,2623476070,2025-03-05,USD,Primary Info 74,Secondary Info 74,193425.21,471136.02,-277710.81
1033145,Global Finance Corp,2623476070,2025-03-24,INR,Primary Info 75,Secondary Info 75,409846.12,342892.95,66953.17
1424362,Global Finance Corp,2623476070,2025-03-22,CAD,Primary Info 76,Secondary Info 76,445491.0,488457.56,-42966.56
2202563,Global Finance Corp,2623476070,2025-03-01,INR,Primary Info 77,Secondary Info 77,142740.11,253746.62,-111006.51
2480950,Global Finance Corp,2623476070,2025-03-14,USD,Primary Info 78,Secondary Info 78,448621.7,18974.89,429646.81
2507765,Global Finance Corp,2623476070,2025-03-21,EUR,Primary Info 79,Secondary Info 79,3523.45,463970.89,-460447.44
6474767,Global Finance Corp,2623476070,2025-03-26,EUR,Primary Info 80,Secondary Info 80,157860.74,305920.68,-148059.94
2258576,Global Finance Corp,2623476070,2025-03-10,AUD,Primary Info 81,Secondary Info 81,177427.65,77632.77,99794.88
2148018,Global Finance Corp,2623476070,2025-03-23,JPY,Primary Info 82,Secondary Info 82,394602.11,56738.55,337863.56
7800028,Global Finance Corp,2623476070,2025-03-14,JPY,Primary Info 83,Secondary Info 83,441568.09,135646.74,305921.35
1499691,Global Finance Corp,2623476070,2025-03-24,JPY,Primary Info 84,Secondary Info 84,355232.02,362953.38,-7721.36
2335136,Global Finance Corp,2623476070,2025-03-19,INR,Primary Info 85,Secondary Info 85,393782.11,327312.6,66469.51
1751973,Global Finance Corp,2623476070,2025-03-08,AUD,Primary Info 86,Secondary Info 86,128916.31,414777.45,-285861.14
8489290,Global Finance Corp,2623476070,2025-03-02,EUR,Primary Info 87,Secondary Info 87,491084.0,353727.69,137356.31
3371899,Global Finance Corp,2623476070,2025-03-19,CAD,Primary Info 88,Secondary Info 88,356490.83,13194.93,343295.9
1725525,Global Finance Corp,2623476070,2025-03-13,INR,Primary Info 89,Secondary Info 89,386763.91,399484.42,-12720.51
1201422,Global Finance Corp,2623476070,2025-03-11,AUD,Primary Info 90,Secondary Info 90,468750.37,260515.25,208235.12
2692936,Global Finance Corp,2623476070,2025-03-01,EUR,Primary Info 91,Secondary Info 91,328638.89,170414.16,158224.73
2549267,Global Finance Corp,2623476070,2025-03-02,INR,Primary Info 92,Secondary Info 92,22855.79,455405.6,-432549.81
8257343,Global Finance Corp,2623476070,2025-03-28,AUD,Primary Info 93,Secondary Info 93,210439.49,455768.4,-245328.91
8767137,Global Finance Corp,2623476070,2025-03-28,INR,Primary Info 94,Secondary Info 94,471238.74,487754.56,-16515.82
5891551,Global Finance Corp,2623476070,2025-03-27,USD,Primary Info 95,Secondary Info 95,240533.05,232866.81,7666.24
2610292,Global Finance Corp,2623476070,2025-03-17,JPY,Primary Info 96,Secondary Info 96,96449.77,375086.65,-278636.88
1098100,Global Finance Corp,2623476070,2025-03-11,INR,Primary Info 97,Secondary Info 97,232267.57,300154.43,-67886.86
3156331,Global Finance Corp,2623476070,2025-03-14,AUD,Primary Info 98,Secondary Info 98,40549.34,121395.39,-80846.05
2056036,Global Finance Corp,2623476070,2025-03-17,JPY,Primary Info 99,Secondary Info 99,144997.62,159054.04,-14056.42
3276068,Global Finance Corp,2623476070,2025-03-08,GBP,Primary Info 100,Secondary Info 100,469470.66,396966.98,72503.68
1717673,Global Finance Corp,2623476070,2025-03-15,CAD,Primary Info 101,Secondary Info 101,482272.8,440687.19,41585.61
2511829,Global Finance Corp,2623476070,2025-03-06,CAD,Primary Info 102,Secondary Info 102,285148.63,471794.48,-186645.85
1793930,Global Finance Corp,2623476070,2025-03-07,GBP,Primary Info 103,Secondary Info 103,62360.92,135554.52,-73193.6
3153000,Global Finance Corp,2623476070,2025-03-21,AUD,Primary Info 104,Secondary Info 104,9210.55,137432.26,-128221.71
3035646,Global Finance Corp,2623476070,2025-03-07,USD,Primary Info 105,Secondary Info 105,208594.58,223977.5,-15382.92
1295693,Global Finance Corp,2623476070,2025-03-18,EUR,Primary Info 106,Secondary Info 106,369357.14,302308.94,67048.2
1203793,Global Finance Corp,2623476070,2025-03-16,AUD,Primary Info 107,Secondary Info 107,428957.84,478734.72,-49776.88
1283336,Global Finance Corp,2623476070,2025-03-22,JPY,Primary Info 108,Secondary Info 108,427391.8,488034.07,-60642.27
3337840,Global Finance Corp,2623476070,2025-03-12,USD,Primary Info 109,Secondary Info 109,370428.5,483719.57,-113291.07
5697598,Global Finance Corp,2623476070,2025-03-19,INR,Primary Info 110,Secondary Info 110,18855.52,64567.42,-45711.9
1147999,Global Finance Corp,2623476070,2025-03-09,USD,Primary Info 111,Secondary Info 111,299639.1,106858.6,192780.5
1991299,Global Finance Corp,2623476070,2025-03-26,CAD,Primary Info 112,Secondary Info 112,238485.67,187490.4,50995.27
3035430,Global Finance Corp,2623476070,2025-03-18,JPY,Primary Info 113,Secondary Info 113,322527.01,115524.29,207002.72
1169270,Global Finance Corp,2623476070,2025-03-03,INR,Primary Info 114,Secondary Info 114,17429.55,337845.01,-320415.46
1382011,Global Finance Corp,2623476070,2025-03-27,USD,Primary Info 115,Secondary Info 115,12150.18,468381.64,-456231.46
2506897,Global Finance Corp,2623476070,2025-03-27,INR,Primary Info 116,Secondary Info 116,290550.46,267621.08,22929.38
2029164,Global Finance Corp,2623476070,2025-03-09,GBP,Primary Info 117,Secondary Info 117,283567.93,374630.93,-91063.0
3121190,Global Finance Corp,2623476070,2025-03-01,CAD,Primary Info 118,Secondary Info 118,192486.77,449186.42,-256699.65
7658647,Global Finance Corp,2623476070,2025-03-27,AUD,Primary Info 119,Secondary Info 119,494043.45,110477.38,383566.07
2770496,Global Finance Corp,2623476070,2025-03-07,GBP,Primary Info 120,Secondary Info 120,333209.02,40108.87,293100.15
2300216,Global Finance Corp,2623476070,2025-03-28,CAD,Primary Info 121,Secondary Info 121,295836.55,14842.38,280994.17
2213293,Global Finance Corp,2623476070,2025-03-12,INR,Primary Info 122,Secondary Info 122,464219.98,334579.01,129640.97
2371906,Global Finance Corp,2623476070,2025-03-04,USD,Primary Info 123,Secondary Info 123,128531.02,18281.99,110249.03
3273218,Global Finance Corp,2623476070,2025-03-22,USD,Primary Info 124,Secondary Info 124,273726.95,493579.74,-219852.79
6690033,Global Finance Corp,2623476070,2025-03-03,EUR,Primary Info 125,Secondary Info 125,307629.44,392942.52,-85313.08
1253727,Global Finance Corp,2623476070,2025-03-21,JPY,Primary Info 126,Secondary Info 126,268494.44,271617.64,-3123.2
1670644,Global Finance Corp,2623476070,2025-03-13,JPY,Primary Info 127,Secondary Info 127,145993.17,259368.91,-113375.74
2914561,Global Finance Corp,2623476070,2025-03-07,EUR,Primary Info 128,Secondary Info 128,122655.75,194330.83,-71675.08
3026545,Global Finance Corp,2623476070,2025-03-26,USD,Primary Info 129,Secondary Info 129,471579.7,171732.9,299846.8
3294780,Global Finance Corp,2623476070,2025-03-10,JPY,Primary Info 130,Secondary Info 130,238928.71,69808.69,169120.02
2200321,Global Finance Corp,2623476070,2025-03-03,EUR,Primary Info 131,Secondary Info 131,44424.84,390866.08,-346441.24
9481058,Global Finance Corp,2623476070,2025-03-09,INR,Primary Info 132,Secondary Info 132,342359.01,214918.93,127440.08
2451997,Global Finance Corp,2623476070,2025-03-07,JPY,Primary Info 133,Secondary Info 133,156968.4,313990.56,-157022.16
1733933,Global Finance Corp,2623476070,2025-03-10,INR,Primary Info 134,Secondary Info 134,121819.43,143605.8,-21786.37
1179141,Global Finance Corp,2623476070,2025-03-01,INR,Primary Info 135,Secondary Info 135,363339.59,97635.09,265704.5
2978646,Global Finance Corp,2623476070,2025-03-16,JPY,Primary Info 136,Secondary Info 136,385089.42,413217.89,-28128.47
2370583,Global Finance Corp,2623476070,2025-03-22,CAD,Primary Info 137,Secondary Info 137,346472.82,169881.59,176591.23
2311539,Global Finance Corp,2623476070,2025-03-08,AUD,Primary Info 138,Secondary Info 138,91699.05,402459.81,-310760.76
2570360,Global Finance Corp,2623476070,2025-03-04,USD,Primary Info 139,Secondary Info 139,8901.95,466870.72,-457968.77
6507345,Global Finance Corp,2623476070,2025-03-04,JPY,Primary Info 140,Secondary Info 140,64986.08,361407.05,-296420.97
1146806,Global Finance Corp,2623476070,2025-03-17,CAD,Primary Info 141,Secondary Info 141,262628.09,498117.85,-235489.76
2577465,Global Finance Corp,2623476070,2025-03-07,USD,Primary Info 142,Secondary Info 142,418981.75,151335.23,267646.52
1954696,Global Finance Corp,2623476070,2025-03-03,AUD,Primary Info 143,Secondary Info 143,348562.92,141902.2,206660.72
1967231,Global Finance Corp,2623476070,2025-03-26,AUD,Primary Info 144,Secondary Info 144,456895.99,116627.11,340268.88
1769609,Global Finance Corp,2623476070,2025-03-01,JPY,Primary Info 145,Secondary Info 145,136030.25,47362.63,88667.62
1193264,Global Finance Corp,2623476070,2025-03-01,CAD,Primary Info 146,Secondary Info 146,192005.46,459601.5,-267596.04
2417816,Global Finance Corp,2623476070,2025-03-20,GBP,Primary Info 147,Secondary Info 147,427864.36,151923.13,275941.23
1316533,Global Finance Corp,2623476070,2025-03-28,CAD,Primary Info 148,Secondary Info 148,375828.45,228575.44,147253.01
1587712,Global Finance Corp,2623476070,2025-03-11,EUR,Primary Info 149,Secondary Info 149,129449.01,468016.54,-338567.53
2715132,Global Finance Corp,2623476070,2025-03-21,INR,Primary Info 150,Secondary Info 150,173304.07,90191.99,83112.08
1744901,Global Finance Corp,2623476070,2025-03-21,CAD,Primary Info 151,Secondary Info 151,474464.36,53921.3,420543.06
2779085,Global Finance Corp,2623476070,2025-03-12,INR,Primary Info 152,Secondary Info 152,449699.54,277205.1,172494.44
1909595,Global Finance Corp,2623476070,2025-03-18,CAD,Primary Info 153,Secondary Info 153,441892.45,100588.46,341303.99
3020810,Global Finance Corp,2623476070,2025-03-06,USD,Primary Info 154,Secondary Info 154,465132.83,441970.21,23162.62
4509087,Global Finance Corp,2623476070,2025-03-21,EUR,Primary Info 155,Secondary Info 155,236298.98,69207.25,167091.73
1775559,Global Finance Corp,2623476070,2025-03-28,AUD,Primary Info 156,Secondary Info 156,337835.66,425650.97,-87815.31
9612658,Global Finance Corp,2623476070,2025-03-01,CAD,Primary Info 157,Secondary Info 157,338423.97,43193.32,295230.65
3379647,Global Finance Corp,2623476070,2025-03-25,USD,Primary Info 158,Secondary Info 158,276896.91,183978.46,92918.45
8324058,Global Finance Corp,2623476070,2025-03-12,EUR,Primary Info 159,Secondary Info 159,317051.82,487652.69,-170600.87
1781779,Global Finance Corp,2623476070,2025-03-10,CAD,Primary Info 160,Secondary Info 160,339050.95,255203.92,83847.03
1454824,Global Finance Corp,2623476070,2025-03-17,CAD,Primary Info 161,Secondary Info 161,427069.39,279859.64,147209.75
2815915,Global Finance Corp,2623476070,2025-03-22,GBP,Primary Info 162,Secondary Info 162,239572.4,255543.77,-15971.37
2993426,Global Finance Corp,2623476070,2025-03-05,EUR,Primary Info 163,Secondary Info 163,211685.49,35785.18,175900.31
1522768,Global Finance Corp,2623476070,2025-03-21,EUR,Primary Info 164,Secondary Info 164,358469.79,151772.1,206697.69
2690312,Global Finance Corp,2623476070,2025-03-10,GBP,Primary Info 165,Secondary Info 165,379722.24,12429.63,367292.61
2658984,Global Finance Corp,2623476070,2025-03-27,CAD,Primary Info 166,Secondary Info 166,99998.08,392119.96,-292121.88
7518415,Global Finance Corp,2623476070,2025-03-16,EUR,Primary Info 167,Secondary Info 167,16578.4,183098.06,-166519.66
1936938,Global Finance Corp,2623476070,2025-03-20,AUD,Primary Info 168,Secondary Info 168,299405.24,7852.92,291552.32
3288853,Global Finance Corp,2623476070,2025-03-02,EUR,Primary Info 169,Secondary Info 169,497438.02,499296.79,-1858.77
7865679,Global Finance Corp,2623476070,2025-03-21,GBP,Primary Info 170,Secondary Info 170,345484.1,168819.93,176664.17
2124670,Global Finance Corp,2623476070,2025-03-09,CAD,Primary Info 171,Secondary Info 171,305675.98,468830.53,-163154.55
2036517,Global Finance Corp,2623476070,2025-03-11,GBP,Primary Info 172,Secondary Info 172,259305.86,190814.25,68491.61
2867824,Global Finance Corp,2623476070,2025-03-27,JPY,Primary Info 173,Secondary Info 173,121489.51,305073.21,-183583.7
1143005,Global Finance Corp,2623476070,2025-03-18,AUD,Primary Info 174,Secondary Info 174,60348.12,240809.81,-180461.69
1960799,Global Finance Corp,2623476070,2025-03-10,USD,Primary Info 175,Secondary Info 175,200862.15,383673.74,-182811.59
3348486,Global Finance Corp,2623476070,2025-03-19,CAD,Primary Info 176,Secondary Info 176,429979.71,228663.0,201316.71
1876226,Global Finance Corp,2623476070,2025-03-16,AUD,Primary Info 177,Secondary Info 177,265129.7,135902.94,129226.76
8048948,Global Finance Corp,2623476070,2025-03-03,JPY,Primary Info 178,Secondary Info 178,208102.1,200977.78,7124.32
2133413,Global Finance Corp,2623476070,2025-03-15,USD,Primary Info 179,Secondary Info 179,114119.87,234378.11,-120258.24
4764674,Global Finance Corp,2623476070,2025-03-19,EUR,Primary Info 180,Secondary Info 180,105428.01,218322.53,-112894.52
1603090,Global Finance Corp,2623476070,2025-03-03,JPY,Primary Info 181,Secondary Info 181,326658.43,406285.41,-79626.98
2444656,Global Finance Corp,2623476070,2025-03-12,INR,Primary Info 182,Secondary Info 182,3557.95,181606.62,-178048.67
1357259,Global Finance Corp,2623476070,2025-03-08,CAD,Primary Info 183,Secondary Info 183,56358.17,91498.98,-35140.81
4932582,Global Finance Corp,2623476070,2025-03-08,EUR,Primary Info 184,Secondary Info 184,228102.63,343709.92,-115607.29
1246350,Global Finance Corp,2623476070,2025-03-21,USD,Primary Info 185,Secondary Info 185,177967.17,394859.31,-216892.14
5748745,Global Finance Corp,2623476070,2025-03-24,JPY,Primary Info 186,Secondary Info 186,445777.07,241402.01,204375.06
3463539,Global Finance Corp,2623476070,2025-03-05,EUR,Primary Info 187,Secondary Info 187,457256.45,233579.24,223677.21
7233983,Global Finance Corp,2623476070,2025-03-01,INR,Primary Info 188,Secondary Info 188,450934.75,57609.94,393324.81
2856547,Global Finance Corp,2623476070,2025-03-11,JPY,Primary Info 189,Secondary Info 189,295819.2,49725.09,246094.11
3097906,Global Finance Corp,2623476070,2025-03-26,USD,Primary Info 190,Secondary Info 190,231724.16,202094.72,29629.44
2973903,Global Finance Corp,2623476070,2025-03-27,INR,Primary Info 191,Secondary Info 191,98718.3,9117.43,89600.87
3135872,Global Finance Corp,2623476070,2025-03-23,AUD,Primary Info 192,Secondary Info 192,487214.23,96214.82,390999.41
2337250,Global Finance Corp,2623476070,2025-03-15,USD,Primary Info 193,Secondary Info 193,387564.26,216103.59,171460.67
1712308,Global Finance Corp,2623476070,2025-03-27,CAD,Primary Info 194,Secondary Info 194,380044.32,296380.8,83663.52
1010218,Global Finance Corp,2623476070,2025-03-26,GBP,Primary Info 195,Secondary Info 195,325758.89,491343.35,-165584.46
3125808,Global Finance Corp,2623476070,2025-03-26,INR,Primary Info 196,Secondary Info 196,484511.41,59017.97,425493.44
2159666,Global Finance Corp,2623476070,2025-03-16,EUR,Primary Info 197,Secondary Info 197,493381.35,476347.29,17034.06
5336628,Global Finance Corp,2623476070,2025-03-22,AUD,Primary Info 198,Secondary Info 198,306398.29,417191.01,-110792.72
2783150,Global Finance Corp,2623476070,2025-03-23,AUD,Primary Info 199,Secondary Info 199,158683.4,135631.47,23051.93
3376762,Global Finance Corp,2623476070,2025-03-10,JPY,Primary Info 200,Secondary Info 200,98415.83,85605.29,12810.54
1674104,Global Finance Corp,2623476070,2025-03-20,INR,Primary Info 201,Secondary Info 201,182345.36,455536.94,-273191.58
3208844,Global Finance Corp,2623476070,2025-03-18,GBP,Primary Info 202,Secondary Info 202,268904.8,490983.7,-222078.9
1103716,Global Finance Corp,2623476070,2025-03-22,USD,Primary Info 203,Secondary Info 203,412758.65,266515.79,146242.86
1237937,Global Finance Corp,2623476070,2025-03-18,CAD,Primary Info 204,Secondary Info 204,303716.71,42242.03,261474.68
2812923,Global Finance Corp,2623476070,2025-03-01,JPY,Primary Info 205,Secondary Info 205,50319.03,416734.0,-366414.97
3322973,Global Finance Corp,2623476070,2025-03-03,INR,Primary Info 206,Secondary Info 206,380211.14,348777.39,31433.75
3170601,Global Finance Corp,2623476070,2025-03-14,GBP,Primary Info 207,Secondary Info 207,302882.41,311102.3,-8219.89
2244457,Global Finance Corp,2623476070,2025-03-10,GBP,Primary Info 208,Secondary Info 208,408518.21,236408.03,172110.18
1556023,Global Finance Corp,2623476070,2025-03-10,JPY,Primary Info 209,Secondary Info 209,280333.88,338054.64,-57720.76
1963848,Global Finance Corp,2623476070,2025-03-04,AUD,Primary Info 210,Secondary Info 210,85502.25,215713.63,-130211.38
1471629,Global Finance Corp,2623476070,2025-03-28,CAD,Primary Info 211,Secondary Info 211,116563.19,375859.83,-259296.64
1409092,Global Finance Corp,2623476070,2025-03-19,AUD,Primary Info 212,Secondary Info 212,451188.66,268982.09,182206.57
8547264,Global Finance Corp,2623476070,2025-03-19,EUR,Primary Info 213,Secondary Info 213,118510.49,410033.69,-291523.2
1342477,Global Finance Corp,2623476070,2025-03-27,AUD,Primary Info 214,Secondary Info 214,53394.73,310785.72,-257390.99
3106882,Global Finance Corp,2623476070,2025-03-27,USD,Primary Info 215,Secondary Info 215,293854.39,80599.07,213255.32
2359181,Global Finance Corp,2623476070,2025-03-09,CAD,Primary Info 216,Secondary Info 216,71227.96,440443.0,-369215.04
7173107,Global Finance Corp,2623476070,2025-03-16,AUD,Primary Info 217,Secondary Info 217,207725.83,173894.07,33831.76
2630003,Global Finance Corp,2623476070,2025-03-10,INR,Primary Info 218,Secondary Info 218,305506.87,100370.5,205136.37
3074251,Global Finance Corp,2623476070,2025-03-12,JPY,Primary Info 219,Secondary Info 219,338341.64,95733.53,242608.11
1331481,Global Finance Corp,2623476070,2025-03-24,EUR,Primary Info 220,Secondary Info 220,27448.44,487004.66,-459556.22
2715862,Global Finance Corp,2623476070,2025-03-01,INR,Primary Info 221,Secondary Info 221,336498.2,388659.92,-52161.72
1133779,Global Finance Corp,2623476070,2025-03-01,USD,Primary Info 222,Secondary Info 222,331931.9,74821.53,257110.37
1511821,Global Finance Corp,2623476070,2025-03-07,EUR,Primary Info 223,Secondary Info 223,461964.08,251455.39,210508.69
2371962,Global Finance Corp,2623476070,2025-03-04,USD,Primary Info 224,Secondary Info 224,394734.27,40165.64,354568.63
2454640,Global Finance Corp,2623476070,2025-03-20,INR,Primary Info 225,Secondary Info 225,497269.12,454050.1,43219.02
